"Project","Path","OldVersion","NewVersion","Status","Timestamp"
"scraper.Data.IMDB","Addons\scraper.Data.IMDB\My Project\AssemblyInfo.vb","1.11.2.7","1.12.2.0","active","2026-01-02 16:37:39"
"scraper.Data.TMDB","Addons\scraper.Data.TMDB\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"scraper.Data.TVDB","Addons\scraper.Data.TVDB\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"scraper.Data.OMDb","Addons\scraper.Data.OMDb\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"scraper.Data.Trakttv","Addons\scraper.Data.Trakttv\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"scraper.Image.FanartTV","Addons\scraper.Image.FanartTV\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"scraper.Image.TMDB","Addons\scraper.Image.TMDB\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"scraper.Image.TVDB","Addons\scraper.Image.TVDB\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"EmberMediaManager","EmberMediaManager\My Project\AssemblyInfo.vb","1.12.1.0","1.12.2.0","active","2026-01-02 16:37:39"
"EmberAPI","EmberAPI\My Project\AssemblyInfo.vb","1.12.1.1","1.12.2.0","active","2026-01-02 16:37:39"
"KodiAPI","KodiAPI\Properties\AssemblyInfo.cs","1.10.1.0","1.12.2.0","active","2026-01-02 16:37:39"
"scraper.Trailer.TMDB","Addons\scraper.Trailer.TMDB\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"scraper.Trailer.YouTube","Addons\scraper.Trailer.YouTube\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"generic.EmberCore.BulkRename","Addons\generic.EmberCore.BulkRename\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"generic.EmberCore.ContextMenu","Addons\generic.EmberCore.ContextMenu\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"generic.EmberCore.Mapping","Addons\generic.EmberCore.Mapping\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"generic.EmberCore.MediaFileManager","Addons\generic.EmberCore.MediaFileManager\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"generic.EmberCore.MediaListEditor","Addons\generic.EmberCore.MediaListEditor\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"generic.EmberCore.MetadataEditor","Addons\generic.EmberCore.MetadataEditor\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"generic.EmberCore.MovieExporter","Addons\generic.EmberCore.MovieExporter\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"generic.EmberCore.TagManager","Addons\generic.EmberCore.TagManager\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"generic.EmberCore.VideoSourceMapping","Addons\generic.EmberCore.VideoSourceMapping\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
"generic.Interface.Kodi","Addons\generic.Interface.Kodi\My Project\AssemblyInfo.vb","1.11.1.0","1.12.2.0","active","2026-01-02 16:37:39"
"generic.Interface.Trakttv","Addons\generic.Interface.Trakttv\My Project\AssemblyInfo.vb","1.12.0.0","1.12.2.0","active","2026-01-02 16:37:39"
